Date,Cases,Temperature
1 October 2020,1967,11.968219000088622
2 October 2020,2292,13.128087888088771
3 October 2020,2367,17.06840634150644
4 October 2020,1934,15.273396450054838
5 October 2020,2006,13.576452531364167
6 October 2020,2236,12.443725128632082
7 October 2020,3003,11.717426916141953
8 October 2020,4280,10.414104209596793
9 October 2020,4739,11.535052172375151
10 October 2020,5300,11.703924363080857
11 October 2020,4178,8.277515723270445
12 October 2020,4394,6.88005217391299
13 October 2020,5068,6.066391684041985
14 October 2020,6526,6.811459987602169
15 October 2020,8099,7.271780042664126
16 October 2020,7705,6.530928531065115
17 October 2020,9622,5.668709648653504
18 October 2020,8536,6.175030225425113
19 October 2020,7482,6.347552276257591
20 October 2020,9291,7.155565077664692
21 October 2020,10040,10.00556521996386
22 October 2020,12107,12.535098004382071
23 October 2020,13632,11.293754566244015
24 October 2020,13628,10.963890324688835
25 October 2020,11742,9.852950775974406
26 October 2020,10241,11.405831181551028
27 October 2020,16300,10.978050437620462
28 October 2020,18820,9.33743236435836
29 October 2020,20156,8.743752107177674
30 October 2020,21629,7.46654194541477
31 October 2020,21897,6.971896000946511
1 November 2020,17171,6.670716101194024
2 November 2020,15578,10.567103167580926
3 November 2020,19364,11.777109708995502
4 November 2020,24692,8.845274446085693
5 November 2020,27143,5.4407184169578064
6 November 2020,27086,6.789524593054024
7 November 2020,27875,7.175095474144176
8 November 2020,24785,6.148016657380014
9 November 2020,21713,4.812159250997845
10 November 2020,25454,4.449082022076097
11 November 2020,25221,4.143956859971732
12 November 2020,22683,4.316138096082239
13 November 2020,24051,5.332319114950009
14 November 2020,25571,6.589116604642922
15 November 2020,21854,7.121065306242473
16 November 2020,20816,6.431013529411665
17 November 2020,19152,7.4919176633069435
18 November 2020,19883,7.731320715780792
19 November 2020,23975,7.04610090259608
20 November 2020,22464,2.2021173469387594
21 November 2020,24213,-0.17403384263468197
22 November 2020,17856,3.40888027941649
23 November 2020,15002,3.9598529671234286
24 November 2020,32733,3.3434038733223512
25 November 2020,15356,0.7733804062619806
26 November 2020,16690,0.05679247518886257
27 November 2020,17304,2.0784758463406727
28 November 2020,15177,1.0500215568154911
29 November 2020,11482,-0.156504403854116
30 November 2020,5736,-1.0391834799869835
1 December 2020,9113,-2.0614645808736767
2 December 2020,13823,-4.241390130572854
3 December 2020,14863,-1.546548677795842
4 December 2020,13236,3.4378891883088385
5 December 2020,12427,7.061198193411311
6 December 2020,9176,5.93109513404981
7 December 2020,4421,2.5494712941939563
8 December 2020,8310,0.18871543370361457
9 December 2020,12166,-1.3318587657534997
10 December 2020,13750,-1.5604037303742277
11 December 2020,13105,0.1180928292509747
12 December 2020,11499,0.5383261840665037
13 December 2020,8976,0.19415468796213564
14 December 2020,4896,0.7455277190264857
15 December 2020,6874,0.9148667089333584
16 December 2020,12455,2.4164539664503795
17 December 2020,11953,2.548160919540242
18 December 2020,11010,2.7408770018841495
19 December 2020,11246,0.723431858874635
20 December 2020,8590,0.25688495731009625
21 December 2020,4633,0.9117360477773437
22 December 2020,7192,3.4560105484606742
23 December 2020,12358,4.990309464581855
24 December 2020,13115,5.698354103613946
25 December 2020,9081,1.4791524564750742
26 December 2020,4878,-0.9859352260527259
27 December 2020,3842,-1.2563235074960493
28 December 2020,3211,3.2636029411764644
29 December 2020,7624,4.570719658527881
30 December 2020,12780,2.389546887078568
31 December 2020,13464,0.32417214619986834
